bin,A,A_err,B,B_err,C,C_err,chi2,ndf,redchi2,nanA,empty
(Q2_y_Bin_1)-(z_pT_Bin_1),26397.867940839842,315.1337847155519,-0.03391877811885071,0.015912929465813682,-0.0030789058874901892,0.0031396726806007975,35.153083528484956,18.0,1.9529490849158309,False,False
(Q2_y_Bin_1)-(z_pT_Bin_2),27522.6361446904,272.04281254724447,-0.10684399962270691,0.01642740118520318,0.01409997032417504,0.008600406947340447,53.86240915650176,15.0,3.5908272771001175,False,False
(Q2_y_Bin_1)-(z_pT_Bin_3),31163.86448054413,257.723710506878,-0.1333033005529604,0.013951259735209075,0.008999998261307679,0.00516891106213272,49.95246880645961,15.0,3.3301645870973076,False,False
(Q2_y_Bin_1)-(z_pT_Bin_4),28764.546179829627,200.78619306305518,-0.1906201214891629,0.011945836600046472,-0.000350021695055359,0.00042822022598703235,55.31554557380082,17.0,3.2538556219882833,False,False
(Q2_y_Bin_1)-(z_pT_Bin_5),25548.277119795195,185.2566582843865,-0.20409445093315223,0.012686352727453096,-0.01830494712641681,0.008360613830513501,56.23596571728104,21.0,2.6779031293943354,False,False
(Q2_y_Bin_1)-(z_pT_Bin_6),19038.99483355789,121.97754881398396,-0.23916338364359335,0.010396808001594454,-0.008996349112051917,0.008224457514417239,31.138749668362976,21.0,1.4827976032553798,False,False
(Q2_y_Bin_1)-(z_pT_Bin_7),17294.508391731,98.00324143186481,-0.3480871333967508,0.008530285540852028,0.06459941752002159,0.00814087873861101,114.62591032326097,21.0,5.458376682060046,False,False
(Q2_y_Bin_1)-(z_pT_Bin_8),28670.275405086973,183.61861487240822,0.02609999907340078,0.0031584530332408947,0.0015000011107624992,0.002329818137506947,30.155938900408824,16.0,1.8847461812755515,False,False
(Q2_y_Bin_1)-(z_pT_Bin_9),28423.87878782989,156.4908441489806,-0.009250000156060506,0.001376129544649973,-0.00854999986923799,0.0009115916372272577,41.957215318368995,17.0,2.468071489315823,False,False
(Q2_y_Bin_1)-(z_pT_Bin_10),30783.435142733135,206.21047526346592,-0.052328544609031594,0.010646242252842927,-0.0034633876884915143,0.0030881714216541498,29.185884744769947,18.0,1.6214380413761083,False,False
(Q2_y_Bin_1)-(z_pT_Bin_11),26205.93487995804,126.77745299358321,-0.11442884826050542,0.0075279305404581665,-0.0012500019239899559,0.00232504904931802,49.45718888022007,21.0,2.355104232391432,False,False
(Q2_y_Bin_1)-(z_pT_Bin_12),20030.47517514266,99.19975723885545,-0.16991021633858466,0.00731092397153775,0.027149999849300194,0.015975155722889118,49.86902399056244,21.0,2.374715428122021,False,False
(Q2_y_Bin_1)-(z_pT_Bin_13),12583.142646485736,75.09100515423688,-0.21958835674873148,0.0086241336044931,0.055802901803326296,0.00844884418780224,38.28432222815564,21.0,1.8230629632455067,False,False
(Q2_y_Bin_1)-(z_pT_Bin_14),8474.54407600496,58.375818300712126,-0.39047384591134826,0.01014726953328457,0.157013195709082,0.009717908764953972,38.27898007040524,21.0,1.822808574781202,False,False
(Q2_y_Bin_1)-(z_pT_Bin_15),29064.992987502523,162.12084322844566,0.031799991663555155,0.017761144866001666,-0.004499871026413658,0.002440356473870202,28.315102566188852,15.0,1.88767350441259,False,False
(Q2_y_Bin_1)-(z_pT_Bin_16),28794.99012017047,140.4316265486159,-0.007850000046329818,0.0016704291186845927,-0.025499999999993903,0.001795837694524757,43.195270398325725,17.0,2.5408982587250426,False,False
(Q2_y_Bin_1)-(z_pT_Bin_17),29092.417192694855,130.29995358227643,-0.06234727532550053,0.0067991780776888375,-0.02188971580539881,0.006272427161692037,31.58071894193805,21.0,1.503843759139907,False,False
(Q2_y_Bin_1)-(z_pT_Bin_18),22922.44531926958,101.466710663708,-0.1326707094931775,0.006354385205613974,-0.0005500002570486176,0.0010999998024441844,35.440481110868525,21.0,1.687641957660406,False,False
(Q2_y_Bin_1)-(z_pT_Bin_19),16147.878530934711,83.71281522772642,-0.17330666294100971,0.007478539438958626,0.025658801867796212,0.007031723075769035,36.273068621165315,21.0,1.727288981960253,False,False
(Q2_y_Bin_1)-(z_pT_Bin_20),8725.896322282557,62.821122339398244,-0.26214368413399597,0.010575864235697313,0.09461965018978763,0.010205392381793757,35.05607908438695,21.0,1.6693370992565215,False,False
(Q2_y_Bin_1)-(z_pT_Bin_22),27835.214516898657,155.1463116337527,0.020849952503367557,0.013627083429466912,0.004049997459273654,0.0022538909723528837,21.377841894385302,17.0,1.2575201114344294,False,False
