bin,A,A_err,B,B_err,C,C_err,chi2,ndf,redchi2,nanA,empty
(Q2_y_Bin_1)-(z_pT_Bin_1),25208.243614237403,596.0738673620872,-0.024878592624399804,0.012942195803028802,0.028669835342077177,0.021284000323455322,18.571938765354435,18.0,1.0317743758530242,False,False
(Q2_y_Bin_1)-(z_pT_Bin_2),25637.726347662276,684.2439488265627,-0.04578246937716821,0.03340726868105368,0.04730600340034514,0.03437556940331927,34.73685751216541,15.0,2.315790500811027,False,False
(Q2_y_Bin_1)-(z_pT_Bin_3),28223.952749900538,553.6389135682894,-0.12707196964278825,0.03276357886856991,0.029666564469414486,0.022243617452984418,26.86128603233446,15.0,1.7907524021556305,False,False
(Q2_y_Bin_1)-(z_pT_Bin_4),26117.81158609845,270.34024688177306,-0.2209605611592472,0.017980613660439293,-0.010000001655977753,0.014464300190791481,42.281758257869356,17.0,2.4871622504629034,False,False
(Q2_y_Bin_1)-(z_pT_Bin_5),23466.48214495946,243.369243867799,-0.22341057843967402,0.025650010477352436,-0.009451519699725085,0.021462028780902104,30.901274438828867,21.0,1.471489258991851,False,False
(Q2_y_Bin_1)-(z_pT_Bin_6),17563.259400916962,164.16791267439476,-0.25236706970280853,0.014303543946332195,-0.004929677015282953,0.0032195078302622434,25.045908648004897,21.0,1.1926623165716617,False,False
(Q2_y_Bin_1)-(z_pT_Bin_7),15728.476150578399,151.3495223408636,-0.4150778745542386,0.013408301154645225,0.007978967927362702,0.004471362950788374,41.90289892775254,21.0,1.9953761394167875,False,False
(Q2_y_Bin_1)-(z_pT_Bin_8),29940.12156806523,619.3935201483891,0.0032782358977555106,0.0024559711238070956,0.026516237868180966,0.01983287082004217,16.569564529264724,16.0,1.0355977830790453,False,False
(Q2_y_Bin_1)-(z_pT_Bin_9),29348.247139488085,230.47960492805942,-6.471547689411231e-08,1.2286423060918834e-07,0.02357391495006336,0.009525016774833594,15.54327112727943,17.0,0.9143100663105548,False,False
(Q2_y_Bin_1)-(z_pT_Bin_10),30712.89435629389,271.21531786024025,-0.0563354929094878,0.013984190601858352,0.018461352059575047,0.013773706904726332,17.488608916576457,18.0,0.9715893842542476,False,False
(Q2_y_Bin_1)-(z_pT_Bin_11),25842.160536591924,177.91442832678695,-0.1030165049554525,0.01053488444065602,0.009724824145048648,0.006897245948355709,36.69275884370468,21.0,1.747274230652604,False,False
(Q2_y_Bin_1)-(z_pT_Bin_12),19828.334007493682,135.35870335079562,-0.1618544690791703,0.009875175080627213,0.02422108538810591,0.00878749291904444,29.605609223172774,21.0,1.4097909153891797,False,False
(Q2_y_Bin_1)-(z_pT_Bin_13),12265.798633271588,98.68759117826721,-0.21834442947124852,0.011479038311752066,0.047035441396286765,0.011005653420800947,23.946941646827984,21.0,1.1403305546108564,False,False
(Q2_y_Bin_1)-(z_pT_Bin_14),7658.309549151925,76.57357744422916,-0.3829737142668839,0.014217826206199852,0.1365414444859055,0.013593237548796787,18.512061007052477,21.0,0.8815267146215465,False,False
(Q2_y_Bin_1)-(z_pT_Bin_15),28956.079411751107,243.6756851866303,-0.01118442564345549,0.021476550656750415,-0.012500000377132116,0.019441422487485815,19.70161368359351,15.0,1.3134409122395674,False,False
(Q2_y_Bin_1)-(z_pT_Bin_16),28583.81956329323,224.8728304367305,-0.02672283599044828,0.038670843886909445,-0.006341501427106073,0.010245671040778788,31.540226102034204,17.0,1.855307417766718,False,False
